,name,sex,age,Q1_0회 (안 가봤다.),Q1_1 ~ 2회,Q1_10회 이상,Q1_3 ~ 5회,Q1_5 ~ 10회,Q2_가족,Q2_개인,Q2_연인,Q2_친구,Q3_2명,Q3_3명,Q3_4명,Q3_5명 이상,Q3_혼자,Q4_10만 원 ~ 20만 원,Q4_10만 원 미만,Q4_20만 원 ~ 30만 원,Q4_30만 원 ~ 40만 원,Q4_40만 원 이상,Q5_거리 (교통 수단),"Q5_볼거리 (축제, 문화재 등)","Q5_여행 지명도 (SNS, TV 입소문)",Q5_음식 (지역 특산물),Q6_TV 프로그램,Q6_과거 방문 경험,"Q6_유튜브, 인스타그램","Q6_인터넷 검색 (블로그, 밴드)",Q6_주변 지인,Q7_KTX,Q7_고속버스,"Q7_기차 (무궁화호, 새마을호)",Q7_렌트카,Q7_택시,Q8_게스트하우스,Q8_모텔,Q8_전통가옥,Q8_콘도,Q8_호텔,Q9_계획적인 여행이 좋다 !,Q9_즉흥적인 여행이 좋다 !,"Q10_사람 많고, 북적이는 여행지가 좋다.",Q10_한적한 여행지가 좋다.
95,96,1,28,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
96,97,1,21,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
97,98,1,22,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
98,99,1,24,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
99,100,0,22,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
100,101,0,57,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
101,102,1,54,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
102,103,0,56,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
103,104,0,26,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
104,105,0,25,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
105,106,0,42,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
106,107,1,27,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
107,108,0,21,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
108,109,0,26,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
109,110,0,24,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
110,111,0,25,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
111,112,0,26,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
112,113,0,26,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
